grep, ~/Downloads/stackoverflow.com-Posts, parallel, 615.31
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 615.45
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 614.02
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 613.46
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 613.53
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 238.60
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 238.70
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 239.19
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 238.95
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 238.71
