grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.66
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.75
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.87
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.32
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.06
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 89.51
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.94
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.78
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.82
grep, ~/Downloads/stackoverflow.com-Posts, parallel, 88.75
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 133.82
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 133.79
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 133.82
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 134.47
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 133.79
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 133.64
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 134.16
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 134.15
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 134.46
rgrep, ~/Downloads/stackoverflow.com-Posts, parallel, 134.14
